Country Code,2019,2020,2021,2022,2023
UZB,8755.12594,8727.411049,9247.643827,9607.561673,10007.6855
VCT,16186.34525,15677.58747,15900.97658,17172.20762,18335.21208
VEN,,,,,
VGB,,,,,
VIR,45632.63647,45055.78293,46893.5497,46479.29967,
VNM,11628.61391,11851.39657,12048.90199,12930.25622,13491.87942
VUT,3512.071972,3259.995437,3135.836649,3122.640075,3118.396033
WLD,19335.5523,18600.98636,19637.82323,20130.42832,20604.12195
WSM,7033.521134,6745.306396,6214.016928,5843.771792,6304.346137
XKX,11774.11785,11137.49663,12362.4141,13022.46274,13642.67696
YEM,,,,,
ZAF,14370.23804,13266.78581,13711.29357,13777.19275,13690.38946
ZMB,3591.564189,3391.595412,3503.034914,3585.123791,3673.484197
ZWE,3294.806084,2987.269823,3184.785451,3323.121932,3442.251327
